algorithm,distance_m,throughput_mbps,runs
model,1.500000,29.907465,20
model,1.750000,30.257365,20
model,2.000000,30.240310,20
model,2.250000,30.285765,20
model,2.500000,30.267585,20
model,2.750000,30.256225,20
model,3.000000,30.223270,20
model,3.250000,30.255105,20
model,3.500000,30.258505,20
model,3.750000,30.286900,20
model,4.000000,30.252810,20
model,4.250000,30.233500,20
model,4.500000,30.277810,20
model,4.750000,30.253940,20
model,5.000000,30.258495,20
model,5.250000,30.264175,20
model,5.500000,30.264185,20
model,5.750000,30.269855,20
model,6.000000,30.227830,20
model,6.250000,30.253955,20
model,6.500000,30.240325,20
model,6.750000,30.274410,20
model,7.000000,30.275535,20
model,7.250000,30.224415,20
model,7.500000,30.247140,20
model,7.750000,30.253945,20
model,8.000000,30.275540,20
model,8.250000,30.274385,20
model,8.500000,30.236905,20
model,8.750000,30.268720,20
model,9.000000,30.231225,20
model,9.250000,30.236920,20
model,9.500000,30.199420,20
model,9.750000,30.159675,20
model,10.000000,29.814320,20
model,10.250000,28.848720,20
model,10.500000,28.620380,20
model,10.750000,28.531770,20
model,11.000000,28.118275,20
model,11.250000,27.212880,20
model,11.500000,22.707500,20
model,11.750000,22.733640,20
model,12.000000,22.730220,20
model,12.250000,22.722260,20
model,12.500000,22.721150,20
model,12.750000,22.727935,20
model,13.000000,22.742710,20
model,13.250000,22.719990,20
model,13.500000,22.714325,20
model,13.750000,22.724555,20
model,14.000000,22.729090,20
model,14.250000,22.730220,20
model,14.500000,22.710910,20
model,14.750000,22.724545,20
model,15.000000,22.704100,20
model,15.250000,22.714325,20
model,15.500000,22.732490,20
model,15.750000,22.737040,20
model,16.000000,22.724545,20
model,16.250000,22.689330,20
model,16.500000,22.702960,20
model,16.750000,22.690470,20
model,17.000000,22.579145,20
model,17.250000,22.431455,20
model,17.500000,22.139510,20
model,17.750000,20.426415,20
model,18.000000,17.411465,20
model,18.250000,17.403515,20
model,18.500000,17.414880,20
model,18.750000,17.412595,20
model,19.000000,17.416015,20
model,19.250000,17.422835,20
model,19.500000,17.430785,20
model,19.750000,17.419430,20
model,20.000000,17.385345,20
model,20.250000,17.419425,20
model,20.500000,17.422825,20
model,20.750000,17.417155,20
model,21.000000,17.397835,20
model,21.250000,17.364910,20
model,21.500000,17.327405,20
model,21.750000,17.239945,20
model,22.000000,17.135425,20
model,22.250000,16.943440,20
model,22.500000,16.452695,20
model,22.750000,14.059140,20
model,23.000000,14.044385,20
model,23.250000,14.048920,20
model,23.500000,14.053470,20
model,23.750000,14.056870,20
model,24.000000,14.044375,20
model,24.250000,14.044370,20
model,24.500000,14.037545,20
model,24.750000,14.050050,20
model,25.000000,14.053475,20
model,25.250000,14.036415,20
model,25.500000,14.053470,20
model,25.750000,14.046650,20
model,26.000000,14.054600,20
model,26.250000,14.046630,20
model,26.500000,14.042090,20
model,26.750000,14.045515,20
model,27.000000,14.053470,20
model,27.250000,14.037555,20
model,27.500000,14.027335,20
model,27.750000,14.028470,20
model,28.000000,14.028465,20
model,28.250000,13.988695,20
model,28.500000,13.965990,20
model,28.750000,13.929630,20
model,29.000000,13.872830,20
model,29.250000,13.767190,20
model,29.500000,13.645645,20
model,29.750000,13.419555,20
model,30.000000,13.124210,20
model,30.250000,11.060100,20
model,30.500000,10.162640,20
model,30.750000,10.166065,20
model,31.000000,10.169465,20
model,31.250000,10.168335,20
model,31.500000,10.169475,20
model,31.750000,10.167205,20
model,32.000000,10.158105,20
model,32.250000,10.160385,20
model,32.500000,10.167190,20
model,32.750000,10.161510,20
model,33.000000,10.162650,20
model,33.250000,10.159245,20
model,33.500000,10.154690,20
model,33.750000,10.164925,20
model,34.000000,10.156965,20
model,34.250000,10.158110,20
model,34.500000,10.161515,20
model,34.750000,10.149020,20
model,35.000000,10.145605,20
model,35.250000,10.127435,20
model,35.500000,10.125170,20
model,35.750000,10.087678,20
model,36.000000,10.070634,20
model,36.250000,10.034291,20
model,36.500000,9.980891,20
model,36.750000,9.891148,20
model,37.000000,9.784368,20
model,37.250000,9.737792,20
model,37.500000,9.424256,20
model,37.750000,9.278848,20
model,38.000000,6.520640,20
model,38.250000,5.547088,20
model,38.500000,5.543680,20
model,38.750000,5.545952,20
model,39.000000,5.548224,20
model,39.250000,5.548224,20
model,39.500000,5.545952,20
model,39.750000,5.549360,20
model,40.000000,5.549360,20
model,40.250000,5.547088,20
model,40.500000,5.543680,20
model,40.750000,5.551632,20
ideal,1.500000,29.907465,20
ideal,1.750000,30.257365,20
ideal,2.000000,30.240310,20
ideal,2.250000,30.285765,20
ideal,2.500000,30.267585,20
ideal,2.750000,30.256225,20
ideal,3.000000,30.223270,20
ideal,3.250000,30.255105,20
ideal,3.500000,30.258505,20
ideal,3.750000,30.286900,20
ideal,4.000000,30.252810,20
ideal,4.250000,30.233500,20
ideal,4.500000,30.277810,20
ideal,4.750000,30.253940,20
ideal,5.000000,30.258495,20
ideal,5.250000,30.264175,20
ideal,5.500000,30.264185,20
ideal,5.750000,30.269855,20
ideal,6.000000,30.227830,20
ideal,6.250000,30.253955,20
ideal,6.500000,30.240325,20
ideal,6.750000,30.274410,20
ideal,7.000000,30.275535,20
ideal,7.250000,30.224415,20
ideal,7.500000,30.247140,20
ideal,7.750000,30.253945,20
ideal,8.000000,30.275540,20
ideal,8.250000,30.274385,20
ideal,8.500000,30.236905,20
ideal,8.750000,30.268720,20
ideal,9.000000,30.231225,20
ideal,9.250000,30.236920,20
ideal,9.500000,30.199420,20
ideal,9.750000,30.159675,20
ideal,10.000000,29.300850,20
ideal,10.250000,28.673780,20
ideal,10.500000,28.614705,20
ideal,10.750000,28.537455,20
ideal,11.000000,27.031125,20
ideal,11.250000,26.793700,20
ideal,11.500000,26.735750,20
ideal,11.750000,26.698265,20
ideal,12.000000,25.189660,20
ideal,12.250000,22.709765,20
ideal,12.500000,22.726815,20
ideal,12.750000,22.724540,20
ideal,13.000000,22.737040,20
ideal,13.250000,22.737035,20
ideal,13.500000,22.707500,20
ideal,13.750000,22.710910,20
ideal,14.000000,22.740450,20
ideal,14.250000,22.729090,20
ideal,14.500000,22.704090,20
ideal,14.750000,22.731360,20
ideal,15.000000,22.689340,20
ideal,15.250000,22.725685,20
ideal,15.500000,22.741585,20
ideal,15.750000,22.733620,20
ideal,16.000000,22.714310,20
ideal,16.250000,22.701820,20
ideal,16.500000,22.691600,20
