run,seed,model_mbps,ideal_mbps,minstrel_mbps
1,1176152170,18.440156962025362,18.10237316455701,17.879781392405047
2,1671693048,18.43915481012662,18.099502405063355,17.882652784810123
3,860794004,18.460574810126616,18.11776202531651,17.882078227848087
4,145145932,18.446913164556996,18.104387341772192,17.913852784810132
5,859462030,18.43670063291143,18.101510632911438,17.887973670886087
6,1220663250,18.44604974683548,18.111291139240553,17.852453544303803
7,113487225,18.45252265822788,18.10985468354435,17.89329139240507
8,524706366,18.44950303797472,18.10510924050637,17.918743544303798
9,247388044,18.444760886075986,18.106259493670937,17.930683670886076
10,170889239,18.453091265822817,18.114741518987387,17.91241772151899
11,1417327063,18.45281113924055,18.11589367088613,17.863668354430377
12,1788921391,18.452522531645606,18.109137468354486,17.871723924050634
13,898471551,18.440590379746872,18.100218734177272,17.915149999999993
14,1242202147,18.45238025316459,18.110427215189922,17.90134721518987
15,525492704,18.4474884810127,18.10179949367093,17.883372151898733
16,881942902,18.441159493670927,18.10683481012663,17.88682379746836
17,1503540144,18.443898227848145,18.10683430379751,17.892716329113927
18,1865667020,18.441593797468396,18.100359493670933,17.90795873417721
19,594632624,18.441162531645602,18.10482151898739,17.929530506329108
20,289919399,18.44130898734181,18.103094430379798,17.88380189873417
