time_s,distance_m,throughput_mbps
1,1.5,53.5738
1.5,1.75,59.1402
2,2,59.1402
2.5,2.25,59.2765
3,2.5,59.5718
3.5,2.75,59.5037
4,3,59.481
4.5,3.25,59.481
5,3.5,59.4355
5.5,3.75,59.5037
6,4,59.4355
6.5,4.25,59.4582
7,4.5,59.5264
7.5,4.75,59.481
8,5,59.481
8.5,5.25,59.5718
9,5.5,59.5264
9.5,5.75,59.5946
10,6,59.5946
10.5,6.25,59.4582
11,6.5,59.5718
11.5,6.75,59.5491
12,7,59.5037
12.5,7.25,59.5718
13,7.5,59.5264
13.5,7.75,59.481
14,8,59.5264
14.5,8.25,59.481
15,8.5,59.5491
15.5,8.75,59.5264
16,9,59.5037
16.5,9.25,59.5037
17,9.5,59.4355
17.5,9.75,59.2765
18,10,58.7766
18.5,10.25,57.4362
19,10.5,53.3466
19.5,10.75,51.0291
20,11,51.9606
20.5,11.25,51.0518
21,11.5,48.4163
21.5,11.75,43.9632
22,12,46.4397
22.5,12.25,45.7126
23,12.5,44.2586
23.5,12.75,40.2598
24,13,33.353
24.5,13.25,23.3562
25,13.5,19.88
25.5,13.75,23.1971
26,14,22.9699
26.5,14.25,23.7878
27,14.5,22.9018
27.5,14.75,23.1971
28,15,23.6515
28.5,15.25,22.9472
29,15.5,23.7651
29.5,15.75,23.2198
30,16,23.1062
30.5,16.25,23.6061
31,16.5,22.9472
31.5,16.75,23.447
32,17,23.7878
32.5,17.25,22.9699
33,17.5,23.1971
33.5,17.75,23.1971
34,18,22.9245
34.5,18.25,23.4016
35,18.5,23.4243
35.5,18.75,23.2198
36,19,23.0608
36.5,19.25,23.1971
37,19.5,23.1744
37.5,19.75,23.2198
38,20,22.9472
38.5,20.25,23.1744
39,20.5,23.4016
39.5,20.75,23.0154
40,21,23.1971
40.5,21.25,23.0381
41,21.5,23.288
41.5,21.75,22.6973
42,22,22.8563
42.5,22.25,22.3338
43,22.5,22.2429
43.5,22.75,21.6976
44,23,21.1978
44.5,23.25,19.6982
45,23.5,18.4032
45.5,23.75,15.7677
46,24,11.9053
46.5,24.25,12.4278
47,24.5,17.2672
47.5,24.75,17.2672
48,25,17.1309
48.5,25.25,17.3354
49,25.5,17.2899
49.5,25.75,17.1536
50,26,17.1763
50.5,26.25,17.1082
51,26.5,17.3126
51.5,26.75,17.1309
52,27,17.3126
52.5,27.25,17.1082
53,27.5,17.3581
53.5,27.75,17.1082
54,28,17.2899
54.5,28.25,17.04
55,28.5,16.9946
55.5,28.75,17.0854
56,29,16.7219
56.5,29.25,17.2899
57,29.5,16.5402
57.5,29.75,16.2448
58,30,16.3811
58.5,30.25,15.5405
59,30.5,15.1315
59.5,30.75,14.2682
60,31,13.6547
60.5,31.25,12.1098
61,31.5,10.8147
61.5,31.75,8.81536
62,32,9.3152
62.5,32.25,11.4282
63,32.5,11.2691
63.5,32.75,11.2918
64,33,11.4054
64.5,33.25,11.2691
65,33.5,11.2691
65.5,33.75,11.3827
66,34,11.2918
66.5,34.25,11.4282
67,34.5,11.2691
67.5,34.75,11.2237
68,35,11.4054
68.5,35.25,11.2691
69,35.5,11.1782
69.5,35.75,11.3146
70,36,11.1555
70.5,36.25,11.1555
71,36.5,11.1101
71.5,36.75,10.9056
72,37,10.8602
72.5,37.25,10.7466
73,37.5,10.4512
73.5,37.75,10.1558
74,38,9.9968
74.5,38.25,9.61056
75,38.5,9.24704
75.5,38.75,8.11104
76,39,7.79296
76.5,39.25,6.9296
77,39.5,5.72544
77.5,39.75,4.95296
78,40,5.08928
78.5,40.25,5.38464
79,40.5,5.29376
79.5,40.75,5.40736
