time_s,distance_m,throughput_mbps
1,1.5,59.0493
1.5,1.75,59.5264
2,2,59.5037
2.5,2.25,59.5491
3,2.5,59.5264
3.5,2.75,59.5718
4,3,59.5264
4.5,3.25,59.5037
5,3.5,59.4355
5.5,3.75,59.481
6,4,59.5718
6.5,4.25,59.5264
7,4.5,59.5718
7.5,4.75,59.4128
8,5,59.5264
8.5,5.25,59.5491
9,5.5,59.5037
9.5,5.75,59.4582
10,6,59.5718
10.5,6.25,59.4355
11,6.5,59.5037
11.5,6.75,59.5946
12,7,59.5037
12.5,7.25,59.5037
13,7.5,59.5491
13.5,7.75,59.5491
14,8,59.5037
14.5,8.25,59.5718
15,8.5,59.5037
15.5,8.75,59.5264
16,9,59.5491
16.5,9.25,59.5264
17,9.5,59.3446
17.5,9.75,59.3446
18,10,58.663
18.5,10.25,56.959
19,10.5,54.4826
19.5,10.75,53.2784
20,11,52.6422
20.5,11.25,51.4154
21,11.5,48.2118
21.5,11.75,47.3939
22,12,47.0758
22.5,12.25,46.6442
23,12.5,44.9856
23.5,12.75,39.0102
24,13,35.7158
24.5,13.25,35.7158
25,13.5,35.6704
25.5,13.75,35.6704
26,14,35.6931
26.5,14.25,35.6704
27,14.5,35.6704
27.5,14.75,35.6931
28,15,35.6931
28.5,15.25,35.6931
29,15.5,35.6931
29.5,15.75,35.6704
30,16,35.6704
30.5,16.25,35.6704
31,16.5,35.6931
31.5,16.75,35.6022
32,17,35.4659
32.5,17.25,35.2842
33,17.5,35.216
33.5,17.75,34.4208
34,18,33.2621
34.5,18.25,31.0128
35,18.5,25.6963
35.5,18.75,23.7424
36,19,23.7651
36.5,19.25,23.7197
37,19.5,23.7651
37.5,19.75,23.7197
38,20,23.7651
38.5,20.25,23.7651
39,20.5,23.7197
39.5,20.75,23.7197
40,21,23.7424
40.5,21.25,23.6515
41,21.5,23.5834
41.5,21.75,23.6061
42,22,23.4016
42.5,22.25,23.3562
43,22.5,22.6746
43.5,22.75,22.4019
44,23,21.584
44.5,23.25,19.4256
45,23.5,17.7443
45.5,23.75,17.767
46,24,17.7443
46.5,24.25,17.7443
47,24.5,17.7216
47.5,24.75,17.767
48,25,17.7443
48.5,25.25,17.767
49,25.5,17.7443
49.5,25.75,17.7443
50,26,17.767
50.5,26.25,17.7443
51,26.5,17.767
51.5,26.75,17.7216
52,27,17.6989
52.5,27.25,17.7443
53,27.5,17.7443
53.5,27.75,17.7898
54,28,17.6762
54.5,28.25,17.6989
55,28.5,17.6534
55.5,28.75,17.6307
56,29,17.5398
56.5,29.25,17.3581
57,29.5,17.2445
57.5,29.75,17.1082
58,30,16.8355
58.5,30.25,16.4266
59,30.5,15.3587
59.5,30.75,15.0634
60,31,13.5184
60.5,31.25,11.7917
61,31.5,11.8144
61.5,31.75,11.8144
62,32,11.7917
62.5,32.25,11.8144
63,32.5,11.7917
63.5,32.75,11.8144
64,33,11.8144
64.5,33.25,11.7917
65,33.5,11.8144
65.5,33.75,11.769
66,34,11.8144
66.5,34.25,11.7917
67,34.5,11.8371
67.5,34.75,11.7917
68,35,11.7917
68.5,35.25,11.7917
69,35.5,11.769
69.5,35.75,11.7917
70,36,11.7917
70.5,36.25,11.6781
71,36.5,11.6554
71.5,36.75,11.5418
72,37,11.3373
72.5,37.25,11.0419
73,37.5,11.0419
73.5,37.75,10.8374
74,38,10.5421
74.5,38.25,9.95136
75,38.5,9.47424
75.5,38.75,9.01984
76,39,8.13376
76.5,39.25,6.248
77,39.5,5.7936
77.5,39.75,5.7936
78,40,5.7936
78.5,40.25,5.81632
79,40.5,5.7936
79.5,40.75,5.7936
