algorithm,distance_m,throughput_mbps,runs
Ideal,1.500000,58.549440,20
Ideal,1.750000,59.509365,20
Ideal,2.000000,59.509365,20
Ideal,2.250000,59.495735,20
Ideal,2.500000,59.534350,20
Ideal,2.750000,59.498000,20
Ideal,3.000000,59.516175,20
Ideal,3.250000,59.500275,20
Ideal,3.500000,59.480965,20
Ideal,3.750000,59.496870,20
Ideal,4.000000,59.532080,20
Ideal,4.250000,59.519595,20
Ideal,4.500000,59.495720,20
Ideal,4.750000,59.503690,20
Ideal,5.000000,59.500280,20
Ideal,5.250000,59.490045,20
Ideal,5.500000,59.518450,20
Ideal,5.750000,59.502545,20
Ideal,6.000000,59.500275,20
Ideal,6.250000,59.491185,20
Ideal,6.500000,59.492310,20
Ideal,6.750000,59.510505,20
Ideal,7.000000,59.480955,20
Ideal,7.250000,59.526415,20
Ideal,7.500000,59.505950,20
Ideal,7.750000,59.519585,20
Ideal,8.000000,59.504820,20
Ideal,8.250000,59.515040,20
Ideal,8.500000,59.493460,20
Ideal,8.750000,59.515040,20
Ideal,9.000000,59.511630,20
Ideal,9.250000,59.500275,20
Ideal,9.500000,59.432100,20
Ideal,9.750000,59.288975,20
Ideal,10.000000,56.175205,20
Ideal,10.250000,53.520370,20
Ideal,10.500000,53.412440,20
Ideal,10.750000,53.200025,20
Ideal,11.000000,48.578760,20
Ideal,11.250000,47.599535,20
Ideal,11.500000,47.512065,20
Ideal,11.750000,47.406420,20
Ideal,12.000000,43.288415,20
Ideal,12.250000,35.676070,20
Ideal,12.500000,35.687445,20
Ideal,12.750000,35.671535,20
Ideal,13.000000,35.688565,20
Ideal,13.250000,35.693110,20
Ideal,13.500000,35.671535,20
Ideal,13.750000,35.680625,20
Ideal,14.000000,35.672670,20
Ideal,14.250000,35.689705,20
Ideal,14.500000,35.676085,20
Ideal,14.750000,35.694250,20
Ideal,15.000000,35.678360,20
Ideal,15.250000,35.688565,20
Ideal,15.500000,35.687425,20
Ideal,15.750000,35.686295,20
Ideal,16.000000,35.664720,20
Ideal,16.250000,35.655640,20
Ideal,16.500000,35.637455,20
Ideal,16.750000,35.601105,20
Ideal,17.000000,35.462515,20
Ideal,17.250000,30.963945,20
Ideal,17.500000,23.759425,20
Ideal,17.750000,23.752615,20
Ideal,18.000000,23.749210,20
Ideal,18.250000,23.760565,20
Ideal,18.500000,23.761695,20
Ideal,18.750000,23.756020,20
Ideal,19.000000,23.759430,20
Ideal,19.250000,23.756020,20
Ideal,19.500000,23.750345,20
Ideal,19.750000,23.757155,20
Ideal,20.000000,23.754885,20
Ideal,20.250000,23.751480,20
Ideal,20.500000,23.732180,20
Ideal,20.750000,23.744675,20
Ideal,21.000000,23.727630,20
Ideal,21.250000,23.691280,20
Ideal,21.500000,23.644705,20
Ideal,21.750000,23.548145,20
Ideal,22.000000,18.784885,20
Ideal,22.250000,17.749985,20
Ideal,22.500000,17.757930,20
Ideal,22.750000,17.754525,20
Ideal,23.000000,17.753385,20
Ideal,23.250000,17.755660,20
Ideal,23.500000,17.744300,20
Ideal,23.750000,17.752250,20
Ideal,24.000000,17.755660,20
Ideal,24.250000,17.746570,20
Ideal,24.500000,17.755670,20
Ideal,24.750000,17.751115,20
Ideal,25.000000,17.744300,20
Ideal,25.250000,17.746575,20
Ideal,25.500000,17.748845,20
Ideal,25.750000,17.749990,20
Ideal,26.000000,17.756790,20
Ideal,26.250000,17.753385,20
Ideal,26.500000,17.751125,20
Ideal,26.750000,17.749985,20
Ideal,27.000000,17.752250,20
Ideal,27.250000,17.739760,20
Ideal,27.500000,17.742035,20
Ideal,27.750000,17.731815,20
Ideal,28.000000,17.712515,20
Ideal,28.250000,17.698870,20
Ideal,28.500000,17.672745,20
Ideal,28.750000,17.603455,20
Ideal,29.000000,14.279530,20
Ideal,29.250000,11.806455,20
Ideal,29.500000,11.808725,20
Ideal,29.750000,11.812130,20
Ideal,30.000000,11.807590,20
Ideal,30.250000,11.806455,20
Ideal,30.500000,11.809860,20
Ideal,30.750000,11.805320,20
Ideal,31.000000,11.805320,20
Ideal,31.250000,11.804185,20
Ideal,31.500000,11.801915,20
Ideal,31.750000,11.810995,20
Ideal,32.000000,11.805320,20
