time_s,distance_m,throughput_mbps
1,4,59.0266
1.5,5.5,59.4128
2,7,59.5264
2.5,5.5,59.481
3,4,59.4128
3.5,2.5,59.5264
4,1,59.5491
4.5,0.5,59.481
5,2,59.481
5.5,3.5,59.6173
6,5,59.5264
6.5,6.5,59.4582
7,8,59.4355
7.5,9.5,59.5037
8,11,55.8912
8.5,12.5,47.0304
9,14,36.8064
9.5,15.5,35.6931
10,17,35.5568
10.5,18.5,32.785
11,20,23.7424
11.5,21.5,23.697
12,23,22.9926
12.5,23.5,15.4042
13,22,21.8339
13.5,20.5,23.6515
14,19,23.697
14.5,20.5,23.7878
15,22,23.6061
15.5,23.5,21.3341
16,23,15.1997
16.5,21.5,22.9926
17,20,23.697
17.5,18.5,23.7424
18,17,32.3987
18.5,18.5,32.6259
19,20,23.7651
19.5,21.5,23.697
20,23,22.6746
20.5,23.5,16.1312
21,22,21.2659
21.5,20.5,23.5834
22,19,23.7424
22.5,20.5,23.7424
23,22,23.6288
23.5,23.5,21.2886
24,23,15.6768
24.5,23.5,16.2448
25,22,21.0614
25.5,20.5,23.6742
26,19,23.7424
26.5,20.5,23.7197
27,22,23.5834
27.5,23.5,21.3795
28,23,15.495
28.5,23.5,15.9722
29,22,21.2659
29.5,20.5,23.6742
30,19,23.7651
30.5,17.5,28.3091
31,16,35.6022
31.5,14.5,35.6704
32,13,35.6931
32.5,14.5,35.6477
33,16,35.6931
33.5,17.5,35.4659
34,19,28.7862
34.5,17.5,28.4227
35,16,35.3296
35.5,14.5,35.6931
36,13,35.6477
36.5,11.5,43.1453
37,10,52.3014
37.5,8.5,59.7763
38,7,59.4128
38.5,8.5,59.5264
39,10,59.2765
39.5,11.5,52.7104
