time_s,distance_m,throughput_mbps
1,2,58.8448
1.5,3.5,59.4582
2,5,59.4582
2.5,3.5,59.4355
3,2,59.5037
3.5,0.5,59.4355
4,1,59.5037
4.5,2.5,59.3901
5,4,59.5037
5.5,5.5,59.5037
6,7,59.4128
6.5,5.5,59.5491
7,4,59.5037
7.5,2.5,59.5037
8,1,59.481
8.5,0.5,59.5946
9,2,59.5264
9.5,3.5,59.5491
10,5,59.4355
10.5,6.5,59.5491
11,8,59.481
11.5,9.5,59.481
12,11,54.2326
12.5,12.5,43.009
13,14,35.6704
13.5,15.5,35.625
14,17,35.5568
14.5,18.5,25.0829
15,20,23.7424
15.5,21.5,23.6288
16,23,18.9712
16.5,21.5,18.8349
17,20,23.697
17.5,18.5,23.7651
18,17,24.7648
18.5,15.5,35.6931
19,14,35.7158
19.5,12.5,35.6704
20,11,42.6682
20.5,12.5,42.9862
21,14,35.6931
21.5,15.5,35.6931
22,17,35.6477
22.5,15.5,35.625
23,14,35.6704
23.5,12.5,35.6931
24,11,42.5318
24.5,12.5,42.9635
25,14,35.7158
25.5,15.5,35.6704
26,17,35.5795
26.5,15.5,35.6022
27,14,35.6931
27.5,12.5,35.7386
28,11,42.6909
28.5,12.5,42.8954
29,14,35.6704
29.5,15.5,35.6704
30,17,35.6931
30.5,15.5,35.5795
31,14,35.6931
31.5,12.5,35.625
32,11,42.6
32.5,12.5,42.9862
33,14,35.6704
33.5,15.5,35.6477
34,17,35.6477
34.5,15.5,35.6477
35,14,35.7386
35.5,12.5,35.6704
36,11,42.6
36.5,9.5,53.8237
37,8,59.4128
37.5,6.5,59.5037
38,5,59.5037
38.5,6.5,59.5491
39,8,59.5946
39.5,9.5,59.4582
