time_s,distance_m,throughput_mbps
1,4,57.2998
1.5,5.5,59.5946
2,7,58.6858
2.5,5.5,59.481
3,4,59.481
3.5,2.5,59.5037
4,1,59.4582
4.5,0.5,59.5037
5,2,59.5718
5.5,3.5,59.5037
6,5,59.481
6.5,6.5,59.5037
7,8,59.5037
7.5,9.5,59.481
8,11,51.0064
8.5,12.5,42.4637
9,14,31.0355
9.5,15.5,34.8752
10,17,34.7389
10.5,18.5,32.6941
11,20,14.768
11.5,21.5,17.199
12,23,17.3126
12.5,23.5,17.3581
13,22,17.1309
13.5,20.5,17.2899
14,19,17.4262
14.5,20.5,17.2218
15,22,17.3354
15.5,23.5,17.5398
16,23,17.3808
16.5,21.5,17.2445
17,20,17.2899
17.5,18.5,17.4717
18,17,17.1309
18.5,18.5,17.6534
19,20,17.2445
19.5,21.5,17.4035
20,23,17.3354
20.5,23.5,17.1309
21,22,17.4262
21.5,20.5,17.2672
22,19,17.3354
22.5,20.5,17.2672
23,22,17.3808
23.5,23.5,17.3354
24,23,17.3581
24.5,23.5,17.2672
25,22,17.4262
25.5,20.5,17.5626
26,19,17.2218
26.5,20.5,17.2672
27,22,17.1309
27.5,23.5,17.2445
28,23,17.3126
28.5,23.5,17.2445
29,22,17.3808
29.5,20.5,17.3354
30,19,17.3808
30.5,17.5,17.1309
31,16,17.8125
31.5,14.5,17.6534
32,13,17.2899
32.5,14.5,17.1309
33,16,17.5171
33.5,17.5,17.2445
34,19,17.5626
34.5,17.5,17.4944
35,16,17.2672
35.5,14.5,17.5398
36,13,17.1309
36.5,11.5,17.4262
37,10,23.2198
37.5,8.5,47.5757
38,7,47.5075
38.5,8.5,47.6666
39,10,46.8714
39.5,11.5,47.6893
