episode,train_seed,train_throughput_mbps,mean_window_reward,total_reward,windows,packets,partial_windows,updates,loss,return_mean,return_std,return_min,return_max,gradient_norm,parameter_norm_before,parameter_norm_after,exploration_count,action_counts,validation_throughput_mbps,validation_probability,validation_zero_fraction,validation_longest_zero_run,gamma,epsilon,learning_rate,segment_count,segment_mean_throughput_mbps
1,774015,26.82009256410256,7.376694702870191,62288.81007103589,8444,137633,0,1,-0.11353360861539841,7.376694679260254,8.474767684936523,0.0,28.280620574951172,0.5290156006813049,25.931163787841797,25.931194305419922,2580,967 1056 1084 1077 1044 1146 966 1105,nan,nan,nan,nan,0.99,0.3,0.0001,8444,23.246889464166248
2,774016,31.72702820512821,9.797927925026976,77462.41817526327,7906,125012,0,1,-0.11417052149772644,9.797927856445312,9.082416534423828,0.0,28.280744552612305,0.6266316175460815,25.931194305419922,25.93121910095215,2382,915 943 907 1082 980 1072 984 1024,nan,nan,nan,nan,0.99,0.3,0.0001,7906,29.34793243063689
3,774017,19.058583846153844,10.347137480371224,98732.38583770221,9542,164455,0,1,-0.11578135192394257,10.347137451171875,583.0595703125,0.0,56958.29296875,0.5334486365318298,25.93121910095215,25.9312744140625,2855,1018 1094 1190 1271 1171 1353 1113 1333,nan,nan,nan,nan,0.99,0.3,0.0001,9542,14.803544827892724
4,774018,23.60987205128205,6.2102262957542544,55345.536747761915,8912,148269,0,1,-0.11830374598503113,6.210226058959961,8.206401824951172,0.0,28.280744552612305,0.5288361310958862,25.9312744140625,25.93138885498047,2659,1015 1052 1044 1208 1084 1235 1117 1158,nan,nan,nan,nan,0.99,0.3,0.0001,8912,19.699437758554886
5,774019,28.13639358974359,8.130934619325153,67779.47098669448,8336,135756,0,1,-0.12186700105667114,8.13093376159668,8.837611198425293,0.0,28.280744552612305,0.532788872718811,25.93138885498047,25.93154525756836,2435,964 993 970 1054 1062 1201 958 1135,nan,nan,nan,nan,0.99,0.3,0.0001,8336,24.919973154441106
6,774020,29.270059487179495,8.67904728598408,71454.59630550693,8233,135281,0,1,-0.1257738173007965,8.679046630859375,9.005545616149902,0.0,28.28071403503418,0.6031150221824646,25.93154525756836,25.93175506591797,2529,922 950 1010 1021 1023 1176 986 1146,nan,nan,nan,nan,0.99,0.3,0.0001,8233,26.21862449602559
7,774021,34.360801282051284,11.299206925594078,86416.33456694351,7648,119813,0,1,-0.13353627920150757,11.299205780029297,9.24677848815918,0.3360385298728943,28.280744552612305,0.7807249426841736,25.93175506591797,25.932004928588867,2250,839 881 908 999 1012 1070 856 1084,nan,nan,nan,nan,0.99,0.3,0.0001,7648,32.92149650324416
8,774022,21.351265897435912,5.134675569614978,47213.34186260972,9195,157592,0,1,-0.12702210247516632,5.1346755027771,7.444262504577637,0.0,67.68293762207031,0.5224871635437012,25.932004928588867,25.932308197021484,2743,1015 1027 1100 1191 1118 1312 1134 1299,nan,nan,nan,nan,0.99,0.3,0.0001,9195,17.084094543679758
9,774023,24.967242564102573,6.69386254044884,59053.25533183966,8822,146907,0,1,-0.13118261098861694,6.693862438201904,9.821605682373047,0.0,468.4001159667969,0.5448876023292542,25.932308197021484,25.932661056518555,2705,969 1054 997 1131 1115 1232 1084 1241,nan,nan,nan,nan,0.99,0.3,0.0001,8822,20.698204423162732
10,774024,25.92906025641026,6.999333076249778,60943.19309490682,8707,146913,0,1,-0.13324150443077087,6.999332904815674,8.569293975830078,0.0,28.280744552612305,0.545055627822876,25.932661056518555,25.93305778503418,2573,904 1038 999 1096 1120 1279 1031 1241,nan,nan,nan,nan,0.99,0.3,0.0001,8707,21.73281945920329
11,774025,26.214805641025638,7.1589503026593615,61566.97260287051,8600,147683,0,1,-0.13782261312007904,7.158949851989746,8.46823501586914,0.0,28.280620574951172,0.6138738989830017,25.93305778503418,25.93348503112793,2561,870 937 1038 1126 1077 1271 1046 1236,nan,nan,nan,nan,0.99,0.3,0.0001,8600,22.421939023486253
12,774026,32.97605128205128,10.597200863781918,82912.49955822973,7824,126268,0,1,-0.1447865068912506,10.597200393676758,9.39598560333252,0.0,28.28071403503418,0.6675214767456055,25.93348503112793,25.9339656829834,2365,818 901 942 1044 972 1058 910 1180,nan,nan,nan,nan,0.99,0.3,0.0001,7824,30.930412443270164
13,774027,22.388813589743595,5.735810852829233,52453.99024912334,9145,157187,0,1,-0.14192336797714233,5.73581075668335,8.083215713500977,0.0,28.28071403503418,0.5732616782188416,25.9339656829834,25.93449592590332,2784,993 1030 1021 1192 1136 1289 1119 1366,nan,nan,nan,nan,0.99,0.3,0.0001,9145,18.213059638053068
14,774028,22.227148974358975,5.666270445947146,51976.69880067317,9173,159475,0,1,-0.14302247762680054,5.666269779205322,7.984197616577148,0.0,28.28071403503418,0.565376877784729,25.93449592590332,25.935070037841797,2757,905 1007 1057 1135 1183 1363 1129 1395,nan,nan,nan,nan,0.99,0.3,0.0001,9173,18.051989644903497
15,774029,23.517245384615382,6.122952449854236,55124.94090603769,9003,157443,0,1,-0.14709730446338654,6.122952938079834,8.188751220703125,0.0,28.280683517456055,0.5844886302947998,25.935070037841797,25.93569564819336,2666,914 983 1073 1086 1105 1349 1089 1405,nan,nan,nan,nan,0.99,0.3,0.0001,9003,19.33355199762643
16,774030,33.108867948717936,10.565098087683282,83020.54077301522,7858,130519,0,1,-0.15774226188659668,10.56509780883789,9.329689025878906,0.0,28.280744552612305,0.7035552263259888,25.93569564819336,25.936357498168945,2389,791 879 890 957 1015 1172 933 1222,nan,nan,nan,nan,0.99,0.3,0.0001,7858,30.886250456674276
17,774031,17.188842051282048,3.713926967140783,36459.621036421064,9817,174187,0,1,-0.1513843983411789,3.7139272689819336,6.402256011962891,0.0,28.28049659729004,0.567690372467041,25.936357498168945,25.93707847595215,2934,990 1105 1082 1288 1275 1457 1183 1438,nan,nan,nan,nan,0.99,0.3,0.0001,9817,12.954734156605065
18,774032,23.611323076923075,6.1787180201565235,56139.83193114217,9086,157736,0,1,-0.15450380742549896,6.178718090057373,8.457157135009766,0.0,28.280683517456055,0.5970156192779541,25.93707847595215,25.93783950805664,2733,889 1015 1003 1160 1128 1316 1120 1456,nan,nan,nan,nan,0.99,0.3,0.0001,9086,19.12843817065223
19,774033,31.641966410256412,9.643719594055117,77583.72413417342,8045,138188,0,1,-0.16465997695922852,9.643719673156738,9.171647071838379,0.0,28.28071403503418,0.6906786561012268,25.93783950805664,25.938650131225586,2345,790 804 871 998 1066 1224 970 1323,nan,nan,nan,nan,0.99,0.3,0.0001,8045,28.733446415408668
20,774034,26.13965282051283,7.319155973358191,63588.82709653596,8688,151682,0,1,-0.16211266815662384,7.319156169891357,10.442015647888184,0.0,539.1776733398438,0.6271768808364868,25.938650131225586,25.939512252807617,2680,860 954 962 1066 1122 1245 1059 1421,nan,nan,nan,nan,0.99,0.3,0.0001,8688,22.277822085752874
21,774035,35.55476282051282,11.90005989597921,90940.25772507313,7642,126662,0,1,-0.18397432565689087,11.900059700012207,9.397159576416016,0.0,28.280744552612305,0.8570683002471924,25.939512252807617,25.94041633605957,2235,728 841 795 959 980 1158 958 1224,nan,nan,nan,nan,0.99,0.3,0.0001,7642,34.03615825083531
22,774036,27.332158974358965,7.671858015603469,66300.19697084518,8642,151733,0,1,-0.1682443916797638,7.671857833862305,8.957535743713379,0.0,28.28071403503418,0.6355764865875244,25.94041633605957,25.941375732421875,2601,791 891 915 1120 1068 1347 1043 1468,nan,nan,nan,nan,0.99,0.3,0.0001,8642,23.159693540891517
23,774037,30.526938717948706,9.260092048937178,76238.33783889978,8233,140956,0,1,-0.16905911266803741,9.260092735290527,9.340368270874023,0.0,28.280744552612305,0.6329379677772522,25.941375732421875,25.9423828125,2400,756 905 922 974 1079 1243 1032 1323,nan,nan,nan,nan,0.99,0.3,0.0001,8233,27.251414988006857
24,774038,18.78361794871795,4.27079010801451,41170.41664125988,9640,178226,0,1,-0.172119602560997,4.270790100097656,6.903151512145996,0.0,28.28046417236328,0.6456859707832336,25.9423828125,25.943439483642578,2956,900 1005 1043 1166 1209 1525 1149 1644,nan,nan,nan,nan,0.99,0.3,0.0001,9640,14.412848279830662
25,774039,27.08048948717949,7.579424348576675,66266.90707960587,8743,156278,0,1,-0.1776551604270935,7.5794243812561035,13.371822357177734,0.0,934.2116088867188,0.6711450815200806,25.943439483642578,25.94454002380371,2697,820 880 905 1073 1075 1348 1073 1570,nan,nan,nan,nan,0.99,0.3,0.0001,8743,22.557034286504038
26,774040,14.524777179487174,2.95800597253356,30446.755475287933,10293,190500,0,1,-0.18315091729164124,2.958005905151367,5.896681785583496,0.0,28.28071403503418,0.6902623772621155,25.94454002380371,25.945697784423828,3157,999 1104 1088 1230 1186 1566 1379 1742,nan,nan,nan,nan,0.99,0.3,0.0001,10293,10.468593081993946
27,774041,15.580097435897443,3.2415175684926063,32762.01806475477,10107,187118,0,1,-0.18688714504241943,3.2415175437927246,6.093142032623291,0.0,28.280590057373047,0.700347900390625,25.945697784423828,25.9468994140625,3041,973 1044 1058 1244 1221 1485 1230 1853,nan,nan,nan,nan,0.99,0.3,0.0001,10107,11.431606393834203
28,774042,16.737648205128206,3.6844109024990286,37032.013981017735,10051,185584,0,1,-0.18374508619308472,3.68441104888916,6.82636833190918,0.0,28.280744552612305,0.670698881149292,25.9468994140625,25.94816017150879,3059,932 1043 1052 1194 1190 1521 1314 1806,nan,nan,nan,nan,0.99,0.3,0.0001,10051,12.283736055755362
29,774043,34.097767179487164,11.094009993842434,87797.99509126903,7914,138739,0,1,-0.2052358090877533,11.094010353088379,9.701745986938477,0.0,28.28071403503418,0.8267210125923157,25.94816017150879,25.9494571685791,2430,692 765 831 937 1019 1189 1000 1482,nan,nan,nan,nan,0.99,0.3,0.0001,7914,31.54400126548552
30,774044,34.59789974358973,11.345297923451218,89071.93399701551,7851,138748,0,1,-0.21919362246990204,11.345297813415527,9.671307563781738,0.0,28.280744552612305,0.9100967645645142,25.9494571685791,25.95079803466797,2365,654 781 795 917 1007 1224 959 1515,nan,nan,nan,nan,0.99,0.3,0.0001,7851,32.22325651990864
31,774045,27.88559307692308,8.069862044322177,69973.7737863176,8671,158798,0,1,-0.20796988904476166,8.06986141204834,9.379620552062988,0.0,28.280744552612305,0.7888638973236084,25.95079803466797,25.95218276977539,2617,738 814 894 1032 1106 1343 1005 1740,nan,nan,nan,nan,0.99,0.3,0.0001,8671,23.68915918907896
32,774046,20.15904743589744,4.925881729280694,47411.61164432668,9625,178748,0,1,-0.20410288870334625,4.925881385803223,7.8365278244018555,0.0,28.280744552612305,0.7518764138221741,25.95218276977539,25.95361328125,2864,896 930 914 1165 1165 1450 1233 1873,nan,nan,nan,nan,0.99,0.3,0.0001,9625,15.506129348638924
33,774047,19.72649615384615,4.862846577340887,47218.240265980014,9710,182454,0,1,-0.2118932008743286,4.862846851348877,11.218277931213379,0.0,747.2286987304688,0.7916924357414246,25.95361328125,25.95508575439453,2860,816 958 957 1173 1182 1482 1243 1900,nan,nan,nan,nan,0.99,0.3,0.0001,9710,15.063948492662073
34,774048,33.716186923076926,10.679415396508986,86086.76751125893,8061,149331,0,1,-0.24082957208156586,10.679414749145508,9.749131202697754,0.0,28.280744552612305,0.9763548970222473,25.95508575439453,25.95660400390625,2429,638 780 739 841 1018 1304 1028 1714,nan,nan,nan,nan,0.99,0.3,0.0001,8061,30.370670715843307
35,774049,23.619190769230766,6.441442001069543,59757.25744392215,9277,173429,0,1,-0.22483482956886292,6.441442012786865,33.35368347167969,0.0,3110.444091796875,0.8339175581932068,25.95660400390625,25.958168029785156,2762,775 873 923 1064 1151 1503 1137 1852,nan,nan,nan,nan,0.99,0.3,0.0001,9277,18.57556250788383
36,774050,29.831945128205124,8.791982692297253,75786.89080760232,8620,159129,0,1,-0.23291321098804474,8.791982650756836,9.81571102142334,0.0,28.280744552612305,0.8695138096809387,25.958168029785156,25.959781646728516,2515,702 803 801 1022 1036 1367 1041 1849,nan,nan,nan,nan,0.99,0.3,0.0001,8620,25.027504682611884
37,774051,25.62553589743589,7.040541944687723,62864.999024116674,8929,168035,0,1,-0.23562178015708923,7.040542125701904,8.905830383300781,0.0,28.280729293823242,0.8722280263900757,25.959781646728516,25.96144676208496,2697,687 940 852 996 1121 1349 1081 1904,nan,nan,nan,nan,0.99,0.3,0.0001,8929,21.19965821744361
38,774052,18.073758974358984,4.307647464592275,42766.3240284721,9928,192678,0,1,-0.2366839051246643,4.307647228240967,16.893516540527344,0.0,1526.5452880859375,0.877617597579956,25.96144676208496,25.963163375854492,3006,817 917 882 1167 1217 1479 1281 2169,nan,nan,nan,nan,0.99,0.3,0.0001,9928,13.528796701403824
39,774053,28.36271230769232,8.547968283660417,74384.42000441295,8702,165428,0,1,-0.248233363032341,8.547968864440918,38.208866119384766,0.0,3460.620361328125,0.9184924364089966,25.963163375854492,25.964927673339844,2626,678 822 787 929 1038 1366 1106 1977,nan,nan,nan,nan,0.99,0.3,0.0001,8702,23.811595589964003
40,774054,16.301308205128198,3.5606799797534774,36034.08139510519,10120,198107,0,1,-0.24933308362960815,3.5606799125671387,6.5482988357543945,0.0,28.280620574951172,0.9140188694000244,25.964927673339844,25.966737747192383,2988,789 947 954 1140 1203 1570 1232 2286,nan,nan,nan,nan,0.99,0.3,0.0001,10120,12.02931398847849
41,774055,24.00251333333333,6.279740628795563,58345.07018213957,9291,180463,0,1,-0.25449469685554504,6.279740810394287,8.799864768981934,0.0,28.280683517456055,0.9186855554580688,25.966737747192383,25.968591690063477,2812,762 795 809 1035 1101 1426 1109 2255,nan,nan,nan,nan,0.99,0.3,0.0001,9291,18.843342159671316
42,774056,27.761799743589744,7.838388645633776,70083.03288061159,8941,173535,0,1,-0.2673271894454956,7.838388442993164,9.649765968322754,0.0,28.280744552612305,0.9801485538482666,25.968591690063477,25.97049903869629,2663,688 765 752 1002 1016 1431 1082 2206,nan,nan,nan,nan,0.99,0.3,0.0001,8941,22.458841563758668
43,774057,27.694803076923073,7.925243053009055,70812.0466786359,8935,175868,0,1,-0.27463123202323914,7.925243377685547,9.7660551071167,0.0,28.280744552612305,1.0016694068908691,25.97049903869629,25.972457885742188,2711,663 777 752 918 1038 1327 1139 2322,nan,nan,nan,nan,0.99,0.3,0.0001,8935,22.565435099336256
44,774058,28.1337682051282,8.194991175435117,73804.09052596867,9006,176932,0,1,-0.27930060029029846,8.194991111755371,17.963153839111328,0.0,1429.8905029296875,1.0003234148025513,25.972457885742188,25.974475860595703,2684,630 744 759 918 1039 1353 1160 2404,nan,nan,nan,nan,0.99,0.3,0.0001,9006,22.5796001440862
45,774059,31.521963333333325,9.749499411637593,83202.22797891522,8534,167965,0,1,-0.2912479043006897,9.749499320983887,10.309674263000488,0.0,28.28071403503418,1.0501877069473267,25.974475860595703,25.976547241210938,2563,621 673 712 882 924 1332 1049 2342,nan,nan,nan,nan,0.99,0.3,0.0001,8534,26.969456702596194
46,774060,29.074612307692306,8.574011040175815,75571.33330810964,8814,176534,0,1,-0.29025202989578247,8.574010848999023,9.978592872619629,0.0,28.28071403503418,1.034865140914917,25.976547241210938,25.978670120239258,2655,620 730 689 853 999 1359 1075 2490,nan,nan,nan,nan,0.99,0.3,0.0001,8814,24.156830510152254
47,774061,26.93222846153846,7.735126526521985,70846.02385641486,9159,182997,0,1,-0.2978954613208771,7.735126495361328,9.934869766235352,0.0,28.28071403503418,1.0494544506072998,25.978670120239258,25.980844497680664,2771,632 713 728 914 1008 1420 1148 2597,nan,nan,nan,nan,0.99,0.3,0.0001,9159,21.603714229828604
48,774062,27.31904358974359,7.8696922906756255,71645.67861431089,9104,185581,0,1,-0.30908218026161194,7.869692325592041,9.959416389465332,0.0,28.280683517456055,1.0944987535476685,25.980844497680664,25.983076095581055,2692,615 691 679 905 1007 1338 1134 2736,nan,nan,nan,nan,0.99,0.3,0.0001,9104,22.017906992126267
49,774063,24.747904871794873,6.79585968568239,64689.78834801067,9519,190615,0,1,-0.3149915337562561,6.795859336853027,9.79778003692627,0.0,28.280744552612305,1.1024779081344604,25.983076095581055,25.9853572845459,2832,690 765 771 947 1006 1440 1122 2779,nan,nan,nan,nan,0.99,0.3,0.0001,9519,18.858245508844938
50,774064,36.60220974358974,12.138143341463016,98877.31565955773,8146,165239,0,1,-0.32797786593437195,12.138142585754395,10.78070068359375,0.0,28.280744552612305,1.1557137966156006,25.9853572845459,25.98769187927246,2453,544 624 602 704 864 1196 895 2718,nan,nan,nan,nan,0.99,0.3,0.0001,8146,32.230780414531594
51,774065,30.506551538461544,9.120577564074116,80379.65007218519,8813,184146,0,1,-0.3248329758644104,9.120577812194824,10.369040489196777,0.0,28.280651092529297,1.1080818176269531,25.98769187927246,25.990079879760742,2600,520 627 668 778 920 1347 1074 2880,nan,nan,nan,nan,0.99,0.3,0.0001,8813,25.037487755019097
52,774066,22.351233076923084,5.809917506805572,56913.951896667386,9796,202248,0,1,-0.3420553207397461,5.80991792678833,9.220171928405762,0.0,29.284326553344727,1.171152114868164,25.990079879760742,25.99251937866211,2938,623 750 758 983 1015 1400 1139 3129,nan,nan,nan,nan,0.99,0.3,0.0001,9796,16.53623159499594
